Name,id,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Buchs (AG),AG_1,117947,115924,117412,109368,123590,127365,131470,134841,135298,131358,137231,135467
Oftringen,AG_2,95145,95457,94091,93976,68839,37590,66383,65318,66904,69150,66179,68126
Turgi,AG_3,120734,119556,122720,123430,122601,124402,123029,124411,122033,120349,120864,119858
Bern,BE_1,106087,109163,112956,116676,120260,121068,126937,136110,129712,138194,144032,147264
Biel,BE_2,46000,49060,46898,47836,46879,45294,43980,47470,47130,46630,50285,47136
Thun,BE_3,132277,133423,138327,143570,147525,146350,145877,145018,157256,149566,147149,151667
Basel,BS_1,210721,219766,226516,223006,226926,226637,233271,224632,234160,227304,223192,234955
Posieux,FR_1,84000,91442,92755,93260,90860,89093,91093,95915,97662,96275,97145,95182
Genf,GE_1,232404,234286,241251,224903,229243,222768,232663,237694,225307,219174,222478,240473
Niederurnen,GL_1,112120,111880,116392,109723,113180,111607,115207,114189,113385,111776,112610,110411
Trimmis,GR_1,92772,101737,102836,102576,107546,105194,106149,110399,111868,110746,114678,112138
Perlen,LU_2,0,0,0,0,0,192058,227071,240419,256265,256548,272162,284940
Colombier ,NE_1,64397,68402,61743,59377,60585,61017,50870,36318,62734,69522,66545,67049
La Chaux-de-Fonds ,NE_2,46860,50564,54141,52431,50638,52373,56321,56156,58267,53097,52652,53538
Bazenheid,SG_1,120000,62001,63195,50775,66792,81808,85601,86750,84554,88430,77726,75646
Buchs (SG),SG_2,191471,179083,183854,176005,178374,189206,186538,181893,189088,182164,176692,180305
St. Gallen,SG_3,72779,72727,72782,74542,70363,72430,73433,74324,77717,80071,83026,85128
Zuchwil,SO_1,233172,231379,233455,233627,233088,234908,233897,232635,233688,237297,248018,242653
Weinfelden,TG_1,139597,144763,144906,150476,148580,142959,148533,146033,147362,150094,150024,145742
Giubiasco,TI_1,168020,175205,177331,180429,178398,178914,183484,180478,180353,176880,167119,178950
Lausanne,VD_2,158830,175726,175494,158188,155577,167856,181950,181054,179990,179555,179404,189585
Gamsen,VS_1,38966,39147,40166,37912,36727,37205,35017,39526,37863,38657,37828,42985
Sion,VS_2,72100,72932,72778,77632,68065,70306,69903,66965,56350,57675,55966,58614
Monthey,VS_3,168325,142477,202086,169886,180291,163299,170947,170259,158718,177348,180213,169506
Dietikon,ZH_1,87221,88427,86271,84744,86302,85266,95341,91319,92600,94112,93870,95089
Hinwil,ZH_2,194303,203455,192897,194174,193163,190950,187351,188989,183769,189609,187632,187965
Horgen,ZH_3,66955,87147,66393,64965,68762,38222,33681,36728,36044,34953,36536,35499
ZH Hagenholz,ZH_4,208068,263276,269538,255443,265531,254303,243543,240052,244175,244879,250254,250080
ZH Josefstrasse ,ZH_5,163799,118149,122218,123457,124053,123438,124979,124122,123856,126957,126127,31350
Winterthur,ZH_6,96794,99681,146708,171743,164610,195275,205487,201009,197578,201006,194005,189364
