Name,id,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Buchs (AG),AG_1,80154,72811,75264,75693,71595,74974,78704,73956,73097,72141,65666,69658
Oftringen,AG_2,10448,10310,14851,16462,15117,18893,33975,36726,34871,40660,42320,47763
Turgi,AG_3,54135,43006,44618,48909,45759,58249,59365,64480,55881,59754,64749,79006
Bern,BE_1,178547,160519,167000,157366,143244,120178,98156,124754,104925,141087,142502,148303
Biel,BE_2,21000,21664,22437,22140,22079,23920,24584,25432,26935,27918,28951,33569
Thun,BE_3,60179,52878,58495,59243,55509,57777,58128,64545,67489,66459,67252,73998
Basel,BS_1,449976,464512,477901,477677,482497,472397,488847,461165,489229,495726,461297,486297
Posieux,FR_1,43000,48239,51968,58078,61625,53458,55331,59624,68951,65315,74932,79949
Genf,GE_1,138722,117493,146133,202448,215610,250049,264231,282904,277227,258698,267799,258427
Niederurnen,GL_1,2079,1973,2139,2288,3043,3811,3610,5020,10478,13073,14242,18782
Trimmis,GR_1,56145,40735,59110,66296,63131,70706,78787,79466,70955,77122,83024,93117
Perlen,LU_2,0,0,0,0,0,190747,303065,321904,344002,397794,339264,407178
Colombier ,NE_1,26440,23607,27842,29480,25729,22645,24932,26494,25388,26042,24762,27705
La Chaux-de-Fonds ,NE_2,63900,62700,62596,66095,65219,66340,73716,72065,69173,68897,66711,77578
Bazenheid,SG_1,55000,56462,53917,50347,51882,55828,55449,56029,59435,61229,61511,63758
Buchs (SG),SG_2,171800,163024,184957,197358,191353,206971,213407,218134,219995,256458,274718,287454
St. Gallen,SG_3,64205,59476,58968,65929,59639,65365,72086,80572,94940,105469,109763,122455
Zuchwil,SO_1,312569,162972,65244,81548,77212,89134,97926,101378,103392,113255,112819,126729
Weinfelden,TG_1,192739,193800,191375,204958,199451,200816,205232,205823,201435,192706,185158,171327
Giubiasco,TI_1,0,0,1373,14405,19108,25340,31942,44330,54878,58526,60347,73514
Lausanne,VD_2,240624,256412,258537,253221,241698,267859,301433,300721,288175,314924,296821,314122
Gamsen,VS_1,15000,39154,77620,74145,74682,77398,70059,74741,74822,79634,74725,91778
Sion,VS_2,1916,4480,5535,9203,16768,15670,14156,15131,16549,16495,18541,16585
Monthey,VS_3,69441,115433,87230,72025,83895,99092,62156,73063,69107,77949,80124,85686
Dietikon,ZH_1,27005,23615,25070,24818,24665,25911,26752,25520,33896,66302,74540,99171
Hinwil,ZH_2,40754,42257,39819,41225,37415,56583,62015,57644,60391,59127,57258,61670
Horgen,ZH_3,50501,45011,49577,50843,41333,38344,37169,40791,38623,41384,43756,46222
ZH Hagenholz,ZH_4,366260,399874,423164,403736,420710,434965,427667,420738,419217,450052,444768,474162
ZH Josefstrasse ,ZH_5,86326,75993,75877,92895,88274,104236,102088,111946,111272,103598,106262,37353
Winterthur,ZH_6,120744,113433,122838,141283,116568,147438,175288,171022,167119,182824,184727,201812
